Depth_m,qt_MPa,fs_kPa,u2_kPa,FR_percent,qt_bar,fs_bar,Fr_percent,robertson_zone,soil_type
1.476,0.03974,1.741,-1.3,4.3809763462506295,0.3974,0.017410000000000002,4.3809763462506295,0,Unclassified
1.486,0.0617399999999999,1.622,-1.3,2.627146096533852,0.617399999999999,0.016220000000000002,2.6271460965338562,0,Unclassified
1.496,0.08374,1.73,-1.3,2.0659183186052066,0.8373999999999999,0.0173,2.0659183186052066,0,Unclassified
1.506,0.09674,1.707,-1.3,1.7645234649576185,0.9674,0.017070000000000002,1.7645234649576185,0,Unclassified
1.516,0.1051,1.421,-4.5,1.3520456707897244,1.051,0.01421,1.3520456707897244,0,Unclassified
1.526,0.10934,1.16,-8.3,1.0609109200658495,1.0934000000000001,0.0116,1.0609109200658493,0,Unclassified
1.536,0.10696,1.182,-10.2,1.1050860134629767,1.0695999999999999,0.011819999999999999,1.1050860134629767,0,Unclassified
1.546,0.10854,1.27,-12.3,1.170075548185001,1.0854,0.0127,1.170075548185001,0,Unclassified
1.556,0.094,1.175,-15.0,1.25,0.94,0.01175,1.25,0,Unclassified
1.566,0.0788,1.303,-16.0,1.6535532994923854,0.7879999999999999,0.01303,1.653553299492386,0,Unclassified
1.576,0.0708,1.533,-16.0,2.165254237288136,0.708,0.01533,2.165254237288136,0,Unclassified
1.586,0.0688,1.404,-16.0,2.0406976744186047,0.688,0.014039999999999999,2.0406976744186047,0,Unclassified
1.597,0.0688,1.153,-16.0,1.6758720930232558,0.688,0.01153,1.6758720930232558,0,Unclassified
1.607,0.06096,0.767,-15.2,1.2582020997375327,0.6096,0.00767,1.2582020997375327,0,Unclassified
1.617,0.05106,0.697,-14.7,1.3650607128867998,0.5106,0.00697,1.3650607128867998,0,Unclassified
1.627,0.04722,0.992,-13.9,2.1008047437526467,0.47219999999999995,0.00992,2.1008047437526476,0,Unclassified
1.637,0.0423199999999999,1.536,-13.4,3.629489603024575,0.423199999999999,0.01536,3.6294896030245836,0,Unclassified
1.648,0.0343199999999999,2.058,-13.4,5.996503496503497,0.343199999999999,0.020579999999999998,5.996503496503513,0,Unclassified
1.658,0.03948,2.469,-12.6,6.253799392097263,0.39480000000000004,0.02469,6.253799392097263,0,Unclassified
1.668,0.0616,2.859,-12.0,4.641233766233766,0.616,0.02859,4.641233766233766,0,Unclassified
1.679,0.09476,2.643,-11.2,2.789151540734488,0.9476,0.02643,2.789151540734487,0,Unclassified
1.689,0.12186,2.287,-10.7,1.8767438043656652,1.2186,0.022869999999999998,1.8767438043656655,0,Unclassified
1.699,0.1388599999999999,1.961,-10.7,1.4122137404580153,1.388599999999999,0.019610000000000002,1.4122137404580164,0,Unclassified
1.71,0.16086,1.788,-10.7,1.1115255501678478,1.6086,0.01788,1.1115255501678478,0,Unclassified
1.721,0.16586,1.729,-10.7,1.0424454359098034,1.6586,0.01729,1.0424454359098034,0,Unclassified
1.731,0.14854,1.419,-12.3,0.9552982361653428,1.4854,0.014190000000000001,0.9552982361653427,0,Unclassified
1.741,0.1409,1.418,-15.5,1.00638750887154,1.409,0.01418,1.0063875088715402,0,Unclassified
1.752,0.13236,1.401,-18.2,1.0584768812330008,1.3236,0.01401,1.0584768812330008,0,Unclassified
1.762,0.12212,1.226,-19.4,1.003930560104815,1.2212,0.01226,1.003930560104815,0,Unclassified
1.773,0.1149999999999999,1.611,-20.0,1.4008695652173917,1.149999999999999,0.01611,1.4008695652173924,0,Unclassified
1.784,0.11,1.976,-20.0,1.7963636363636362,1.1,0.01976,1.7963636363636362,0,Unclassified
1.794,0.093,2.141,-20.0,2.3021505376344087,0.9299999999999999,0.02141,2.3021505376344087,0,Unclassified
1.805,0.09516,2.315,-19.2,2.432744850777637,0.9516,0.02315,2.4327448507776377,0,Unclassified
1.815,0.10026,2.307,-18.7,2.301017354877319,1.0026,0.02307,2.3010173548773194,0,Unclassified
1.826,0.1003999999999999,1.751,-18.0,1.74402390438247,1.0039999999999991,0.017509999999999998,1.7440239043824715,0,Unclassified
1.837,0.10052,1.769,-17.4,1.7598487863111818,1.0051999999999999,0.017689999999999997,1.7598487863111818,0,Unclassified
1.847,0.1006799999999999,1.938,-16.6,1.924910607866508,1.006799999999999,0.019379999999999998,1.9249106078665095,0,Unclassified
1.858,0.1078,2.132,-16.0,1.9777365491651204,1.078,0.021320000000000002,1.9777365491651206,0,Unclassified
1.869,0.1228,2.136,-16.0,1.7394136807817588,1.228,0.02136,1.739413680781759,0,Unclassified
1.879,0.13596,1.973,-15.2,1.451162106501912,1.3596,0.01973,1.4511621065019125,0,Unclassified
1.889,0.14606,2.546,-14.7,1.7431192660550456,1.4606,0.025459999999999997,1.7431192660550456,0,Unclassified
1.9,0.15306,2.701,-14.7,1.764667450672939,1.5306,0.02701,1.764667450672939,0,Unclassified
1.911,0.14806,2.26,-14.7,1.5264082128866674,1.4806,0.0226,1.5264082128866676,0,Unclassified
1.922,0.16322,1.994,-13.9,1.2216640117632642,1.6322,0.01994,1.2216640117632642,0,Unclassified
1.932,0.16832,1.951,-13.4,1.159101711026616,1.6832,0.01951,1.159101711026616,0,Unclassified
1.943,0.15832,1.948,-13.4,1.2304194037392622,1.5832,0.01948,1.2304194037392624,0,Unclassified
1.954,0.15532,1.818,-13.4,1.1704867370589749,1.5532000000000001,0.01818,1.170486737058975,0,Unclassified
1.965,0.13832,1.638,-13.4,1.1842105263157896,1.3832,0.01638,1.1842105263157894,0,Unclassified
1.976,0.13832,1.584,-13.4,1.1451706188548296,1.3832,0.01584,1.1451706188548294,0,Unclassified
1.987,0.13832,1.707,-13.4,1.2340948525159052,1.3832,0.017070000000000002,1.2340948525159052,0,Unclassified
