Depth_m;qt_MPa;fs_kPa;u2_kPa;FR_percent
11,077;29,21216;211,703;70,8;0,7247084775655069
11,086;29,16516;211,052;70,8;0,7236442385366649
11,096;29,18716;210,458;70,8;0,7210636457949318
11,107;29,24116;209,965;70,8;0,7180460693077839
11,117;29,31316;209,466;70,8;0,714580072568089
11,127;29,39516;209,156;70,8;0,7115321025638235
11,137;29,50616;208,904;70,8;0,7080013122683535
11,147;29,6423;208,645;71,5;0,7038758800767821
11,158;29,77642;209,206;72,1;0,7025894986704244
11,168;29,93242;210,323;72,1;0,7026595243551975
11,178;30,108420000000002;211,759;72,1;0,7033215293263478
11,187;30,28642;213,257;72,1;0,7041340640458662
11,197;30,45942;214,664;72,1;0,7047540629467007
11,208;30,61342;216,143;72,1;0,7060400308100173
11,217;30,72242;217,576;72,1;0,7081994191863793
11,228;30,73242;219,351;72,1;0,7137446383981475
11,239;30,72242;221,719;72,1;0,721684684995518
11,249;30,69042;224,013;72,1;0,7299118096135537
11,259;30,640420000000002;225,638;72,1;0,7364063547431791
11,269;30,623420000000003;227,134;72,1;0,7417003064974453
11,279;30,60528;228,956;71,4;0,7480931394844288
11,29;30,620160000000002;230,379;70,8;0,7523768654376723
11,3;30,63834;231,097;71,7;0,7542738934289521
11,309;30,68042;231,495;72,1;0,7545366067348491
11,32;30,71728;232,507;71,4;0,7569257434251991
11,331;30,742160000000002;233,488;70,8;0,7595042118055464
11,341;30,76432;234,767;71,6;0,7631145430810757
11,351;30,78642;236,278;72,1;0,7674747502307836
11,362;30,843420000000002;237,591;72,1;0,7703134088243133
11,371;30,846420000000002;238,564;72,1;0,7733928280818324
11,382;30,841420000000003;239,747;72,1;0,7773539610043896
11,392;30,80628;240,201;71,4;0,7797143958959016
11,403;30,771160000000002;240,473;70,8;0,7814882506866819
11,412;30,73216;240,123;70,8;0,7813411097690497
11,422;30,63816;239,212;70,8;0,7807649023309493
11,432;30,51116;238,386;70,8;0,7813075609055834
11,442;30,37516;237,33;70,8;0,7813292176897175
11,453;30,22916;235,92;70,8;0,7804384905171033
11,464;30,14216;234,921;70,8;0,7793767931694344
11,473;30,14516;234,546;70,8;0,7780552499970144
11,483;30,19916;234,277;70,8;0,7757732334276848
11,494;30,36316;233,516;70,8;0,7690767364134695
11,505;30,56616;232,277;70,8;0,7599155405847512
11,514;30,77916;232,04;70,8;0,7538867207552122
11,524;30,992160000000002;231,41;70,8;0,7466727069039395
11,535;31,17016;231,436;70,8;0,7424921784167936
11,546;31,35116;232,365;70,8;0,7411687478230471
11,556;31,50416;233,321;70,8;0,7406037805800885
11,567;31,67516;235,192;70,8;0,7425124292979104
11,576;31,89316;237,08;70,8;0,7433568827924232
11,587;32,02216;238,662;70,8;0,7453026279301584
11,598;32,06916;239,4;70,8;0,7465116018006085
11,608;32,11315999999999;240,179;70,8;0,7479145621296691
11,618;32,188;241,65;70,0;0,7507456194855224
11,628;32,23704;243,821;70,2;0,7563380508880468
11,639;32,43302;245,177;70,1;0,7559487213956639
11,65;32,6459;245,139;69,5;0,7509028698856519
11,659;32,86104;244,11;70,2;0,742855369154476
11,67;33,06916;242,968;70,8;0,7347268572893899
11,68;33,292159999999996;242,83;70,8;0,7293909436936505
11,691;33,58416;243,571;70,8;0,7252555966860568
11,7;33,83916;244,906;70,8;0,7237354591544235
11,711;34,13816;246,903;70,8;0,7232463612567286
11,721;34,445159999999994;248,121;70,8;0,7203363259163262
11,732;34,74816;249,013;70,8;0,7166221175452169
11,741;35,04016;250,232;70,8;0,7141291592275834
11,752;35,374159999999996;253,008;70,8;0,7152339447777701
11,762;35,76316;257,038;70,8;0,7187228421649542
11,773;36,20616;261,058;70,8;0,721032001184329
11,784;36,528000000000006;263,925;70,0;0,7225279237844939
11,794;36,8449;266,02;69,5;0,7219995168937898
11,804;37,24274;268,678;68,7;0,7214238264961171
11,814;37,616620000000005;271,812;68,1;0,7225848574380155
11,825;38,06246;274,056;67,3;0,7200165202144054
11,835;38,621359999999996;273,658;66,8;0,708566451310881
11,845;39,10636;274,033;66,8;0,7007376805205088
11,855;39,37152;285,143;67,6;0,7242367071426249
11,865;39,594620000000006;292,217;68,1;0,7380219837947679
11,874;39,95662;288,627;68,1;0,7223508895397057
11,885;40,42962;286,189;68,1;0,707869626278951
11,894;41,10262;284,412;68,1;0,6919558899165065
11,904;41,62962;278,616;68,1;0,6692734644226874
11,914;41,99862;269,51;68,1;0,641711560998909
11,924;42,39748;268,709;67,4;0,6337853098816251
11,935;42,892039999999994;275,858;65,2;0,6431449751515667
11,945;43,46762;277,16;48,1;0,6376240521105137
11,955;43,78806;276,342;40,3;0,6310898450399491
11,966;43,811899999999994;275,443;44,5;0,6286944871142316
11,975;44,175079999999994;274,707;45,4;0,6218596548099065
11,985;44,1584;274,633;47,0;0,6219269719917387
11,995;44,31946;266,965;47,3;0,6023651912726373
12,005;44,71064;262,939;48,2;0,5880904411120038
12,016;45,01588;266,308;49,4;0,5915867911501451
12,026;44,89236;274,471;51,8;0,6113980196184831
12,036;44,23288;288,637;49,4;0,6525394683773699
12,046;43,3923;294,91;51,5;0,6796367097388247
12,088;39,66766;281,906;73,3;0,7106695983579572
12,095;39,202200000000005;286,392;71,0;0,7305508364326492
12,102;38,937360000000005;294,811;71,8;0,7571417271227425
12,11;38,5976;302,085;73,0;0,7826522892615085
12,119;38,13906;305,355;70,3;0,8006358835272817
12,129;38,14398;316,264;69,9;0,8291321461473082
12,138;37,627;324,253;70,0;0,8617561857177026
12,148;37,58974;335,33;68,7;0,8920785299392867
12,158;37,344620000000006;346,663;68,1;0,9282809679145215
12,167;37,29462;356,033;68,1;0,9546497591341593
12,176;37,264779999999995;350,624;68,9;0,9408991546441441
12,186;37,226060000000004;346,743;70,3;0,9314523213039466
12,196;37,35216;348,808;70,8;0,933836222590608
12,205;36,97652;352,961;72,6;0,9545544037134917
12,214;36,86422;358,509;71,1;0,9725120998084322
12,224;36,90136;366,742;66,8;0,9938441293220631
12,233;36,60546;369,515;62,3;1,0094532345721103
12,243;36,209340000000005;372,449;61,7;1,0285992509115052
12,253;35,9344;366,117;62,0;1,0188482345607552
12,263;35,706140000000005;362,132;60,7;1,014200918945593
12,273;35,53984;358,339;59,2;1,0082740946498354
12,282;35,45076;363,845;58,8;1,0263390686123512
12,291;35,62176;366,818;58,8;1,0297582152032914
12,301;35,82276;361,943;58,8;1,0103716184905909
12,311;36,03976;357,694;58,8;0,9924982852272047
12,32;36,388760000000005;357,692;58,8;0,9829738633578061
12,33;36,74058;358,253;57,9;0,9750880361714485
12,338;37,0175;358,392;57,5;0,9681691092051057
12,347;37,186499999999995;358,65;57,5;0,9644629099269898
12,357;37,33432;360,367;56,6;0,9652432400000858
12,367;37,44306;361,52;55,3;0,9655193779568229
12,377;37,49778;361,583;53,9;0,9642784186157155
12,386;37,55652;362,671;52,6;0,965667213043168
12,395;37,668260000000004;363,697;51,3;0,9655264140154071
12,405;37,705;364,069;50,0;0,9655722052778146
12,415;37,6107;362,131;48,5;0,9628403619182837
12,424;37,53562;361,362;48,1;0,9627175466929813
12,434;37,367779999999996;361,25;48,9;0,9667419365025163
12,444;37,11488;360,767;49,4;0,9720279305766313
12,454;36,93506;360,143;50,3;0,9750708405509562
12,463;36,69032;359,55;51,6;0,9799587466121855
12,473;36,43958;358,497;52,9;0,9838121076038746
12,483;36,16768;355,626;53,4;0,9832701461636466
12,492;35,87386;352,64;54,3;0,9829998779055278
12,501;35,60912;350,28;55,6;0,9836805851983987
12,511;35,260220000000004;348,462;56,1;0,988258156075033
12,521;34,9134;346,529;57,0;0,9925386814231784
12,53;34,4255;344,431;57,5;1,0005112489288461
12,54;33,918659999999996;342,047;58,3;1,0084331161667355
12,55;33,44592;339,88;59,6;1,0162076570176573
12,56;32,91102;334,587;60,1;1,0166412344558144
12,57;32,44318;330,058;60,9;1,0173417032485719
12,58;32,0373;323,425;61,5;1,0095263957949014
12,59;31,64346;317,587;62,3;1,0036418267787401
12,6;31,32456;313,169;62,8;0,999755463444658
12,609;31,071720000000003;309,752;63,6;0,9968936383309325
12,619;30,84698;307,324;64,9;0,9962855358936272
12,629;30,726100000000002;306,213;65,5;0,9965892189376457
12,639;30,70826;304,579;66,3;0,9918471447095993
12,649;30,67436;300,948;66,8;0,9811060442662861
12,658;30,75836;297,897;66,8;0,9685074236727835
12,668;30,800359999999998;293,192;66,8;0,9519109516901751
12,678;30,988200000000003;289,94;66,0;0,9356464718828456
12,688;31,21094;287,512;64,7;0,9211898135717796
12,698;31,452939999999998;288,753;59,7;0,9180477246324191
12,707;31,666359999999997;290,981;51,8;0,9188962672059561
12,717;31,82316;293,716;40,8;0,9229630244136662
12,728;31,92022;298,037;21,1;0,9336934394562442
12,738;31,99738;302,009;-3,1;0,9438554031611338
12,747;32,04794;304,518;-20,3;0,9501952387579357
12,757;32,05022;306,744;-33,9;0,9570729935707148
12,767;32,02296;307,894;-45,2;0,9614788888972162
12,776;31,91564;309,243;-51,8;0,968938739752673
12,786;31,81148;311,078;-52,6;0,977879683686518
12,796;31,714940000000002;313,037;-50,3;0,9870332404853988
12,805;31,6764;314,558;-48,0;0,9930358247780682
12,816;31,698939999999997;313,325;-45,3;0,9884399919997325
12,827;31,7165;310,481;-42,5;0,9789257957214699
12,837;31,73008;307,662;-39,6;0,9696225159218003
12,846;31,77758;305,738;-37,1;0,9621185754233016
12,856;31,9361;306,018;-34,5;0,9582196949533599
12,866;32,14946;307,106;-32,7;0,9552446604079821
12,877;32,429899999999996;307,719;-30,5;0,948874341271481
12,887;32,78448;308,539;-27,6;0,9411129900489498
12,896;33,126979999999996;309,158;-25,1;0,9332513860303596
12,906;33,481339999999996;310,196;-23,3;0,9264742689510039
12,917;33,815780000000004;312,208;-21,1;0,9232612703300056
12,927;34,16516;314,051;-19,2;0,919214193640539
12,937;34,42758;317,132;-17,1;0,9211568167149708
12,947;34,56512;320,159;-14,4;0,9262487733298771
12,957;34,65448;322,27;-12,6;0,929951913865105
12,967;34,73592;324,815;-10,4;0,935098307458101
12,977;34,80828;327,599;-8,6;0,9411525073919192
12,988;34,87872;331,163;-6,4;0,9494700493596094
12,998;34,9281;333,26;-4,5;0,9541314872552472
13,008;34,98556;334,067;-2,2;0,9548710953890692
13,017;35,040879999999994;334,202;-0,6;0,9537488784528243
13,028;35,0553;334,464;1,5;0,9541039443393722
13,039;35,0587;334,895;3,5;0,9552407818886608
13,049;35,03398;333,854;4,9;0,9529433995224064
13,058;34,999359999999996;332,754;6,8;0,9507430993023874
13,069;34,853759999999994;332,276;8,8;0,9533433408619331
13,079;34,693160000000006;331,134;10,8;0,9544647994013805
13,09;34,525580000000005;330,108;12,9;0,9561258637798409
13,099;34,31782;329,942;14,1;0,9614305337576805
13,11;34,09310000000001;328,858;15,5;0,9645881424687105
13,12;33,93436;327,866;16,8;0,966177054761015
13,131;33,830839999999995;326,911;19,2;0,9663106207235767
13,14;33,81216;326,193;20,8;0,9647209761221999
13,151;33,908440000000006;324,808;22,2;0,9578972078927841
13,161;34,094680000000004;324,417;23,4;0,9515179494278871
13,172;34,335159999999995;325,002;25,8;0,9465574064603166
13,181;34,625499999999995;325,549;27,5;0,9402001415142022
13,191;34,87778;327,324;28,9;0,9384886308704281
13,201;35,07918;329,753;30,9;0,9400248238413782
13,212;35,18342;332,719;32,1;0,9456698638165364
13,221;35,21256;335,661;32,8;0,9532422521963753
13,232;35,18584;338,03;34,2;0,9606989629919309
13,242;35,0571;339,005;35,5;0,9670081096268659
13,253;34,8574;340,15;37,0;0,9758329651666503
13,262;34,634620000000005;340,533;38,1;0,9832156379945846
13,273;34,426739999999995;340,543;38,7;0,9891816651823555
13,284;34,2489;340,811;39,5;0,9951005725731337
13,294;34,0852;341,076;41,0;1,000657176721862
13,303;33,92042;340,691;42,1;1,0043832004438624
13,314;33,853719999999996;339,879;43,6;1,0039635230633444
13,324;33,78396;339,702;44,8;1,005512675245886
13,335;33,73724;339,959;46,2;1,0076668986556103
13,345;33,71036;339,507;46,8;1,007129558984241
13,355;33,62352;339,259;47,6;1,0089931095851954
13,365;33,46362;338,901;48,1;1,0127445865091704
13,376;33,230779999999996;339,572;48,9;1,021859854026899
13,386;32,94088;340,176;49,4;1,0326864370350761
13,395;32,590039999999995;339,481;50,2;1,0416710135980196
13,406;32,240159999999996;337,31;50,8;1,0462417059964964
13,417;31,8523;334,392;51,5;1,0498205781058196
13,428;31,39642;330,581;52,1;1,0529257794359994
13,437;30,85656;327,045;52,8;1,0598880756636513
13,448;30,28768;322,962;53,4;1,0663147524009762
13,458;29,656840000000003;319,724;54,2;1,0780784466585112
13,469;28,94396;314,768;54,8;1,0875084128087518
13,48;28,18396;309,348;54,8;1,097603033782336
13,489;27,4711;305,153;55,5;1,110814637928587
13,5;26,817220000000002;299,109;56,1;1,115361696700851
13,511;26,23038;292,178;56,9;1,1138916020278775
13,521;25,6905;286,237;57,5;1,114174500301668
13,531;25,16664;280,453;58,2;1,114383962261152
13,542;24,693759999999997;274,299;58,8;1,1108028910947543
13,553;24,28276;269,27;58,8;1,1088937171886557
13,564;23,88194;264,16;59,7;1,106107795262864
13,573;23,528019999999998;259,336;60,1;1,1022431976851432
13,583;23,159019999999998;255,234;60,1;1,1020932664680978
13,593;22,77002;251,011;60,1;1,1023749649758763
13,604;22,34718;246,603;60,9;1,1035083621289128
13,614;21,9083;242,178;61,5;1,1054166685685334
13,624;21,4163;239,085;61,5;1,1163693074900893
13,635;20,908;235,68;60,0;1,1272240290797781
13,646;20,402759999999997;231,732;58,8;1,1357875111014393
13,657;19,86776;227,54;58,8;1,1452725420480214
13,668;19,38476;223,708;58,8;1,1540405968399918
13,677;18,9269;220,164;59,5;1,1632332817312923
13,689;18,48702;214,951;60,1;1,1627130819353253
13,7;18,10518;211,07;60,9;1,165798959192894
13,711;17,7443;207,794;61,5;1,1710464768968065
13,721;17,42244;203,481;62,2;1,1679248142051284
13,732;17,1677;198,676;63,5;1,157266261642503
13,743;16,99182;192,818;64,1;1,134769553820603
13,754;16,91082;188,558;64,1;1,1150139378220572
13,764;16,828979999999998;184,996;64,9;1,0992704251832257
13,775;16,7301;180,463;65,5;1,078672572190244
13,786;16,57924;175,486;66,2;1,0584683013214116
13,797;16,38836;172,095;66,8;1,0501050745773222
13,807;16,215500000000002;169,972;67,5;1,0482069624741759
13,818;16,11162;168,172;68,1;1,0437932374273973
13,829;16,07678;166,547;68,9;1,0359474969490161
13,84;16,0869;165,617;69,5;1,029514698294886
13,849;16,14704;165,379;70,2;1,0242062941566998
13,86;16,213160000000002;165,212;70,8;1,0189993807499584
13,872;16,26016;165,508;70,8;1,017874362859898
13,883;16,25116;165,881;70,8;1,0207332891928946
13,892;16,19616;166,061;70,8;1,0253109379013299
13,903;16,12416;165,921;70,8;1,0290210466777803
13,914;16,0083;165,391;71,5;1,0331577993915657
13,925;15,90442;165,214;72,1;1,038792989621753
13,934;15,797419999999999;164,789;72,1;1,0431386897354127
13,945;15,69656;164,424;72,8;1,0475161436645992
13,957;15,6047;164,457;73,5;1,0538940191096273
13,967;15,52086;163,61;74,3;1,054129732501936
13,977;15,43196;162,303;74,8;1,0517328971822113
13,987;15,3731;161,065;75,5;1,0477067084712905
13,998;15,31124;159,864;76,2;1,044095710079654
14,009;15,24624;158,626;76,2;1,040427016759542
14,019;15,18038;158,075;76,9;1,0413112188232443
14,03;15,1235;157,84;77,5;1,0436737527688695
14,041;15,061499999999999;157,418;77,5;1,0451681439431666
14,052;15,019499999999999;157,199;77,5;1,0466327108092814
14,061;14,96764;157,428;78,2;1,051789059597906
14,072;14,90776;157,504;78,8;1,0565235823490584
14,083;14,83876;157,741;78,8;1,0630335688426795
14,094;14,731919999999999;157,322;79,6;1,0678988210633782
14,105;14,569040000000001;156,05;80,2;1,0711069500804444
14,115;14,351040000000001;154,9;80,2;1,079364283006667
14,126;14,11604;152,919;80,2;1,083299565600551
14,137;13,86318;150,924;80,9;1,088667967955404
14,148;13,6383;148,795;81,5;1,0910084101390936
14,157;13,43344;147,484;82,2;1,0978870639240583
14,168;13,26456;145,888;82,8;1,0998329382957295
14,179;13,13872;144,039;83,6;1,0962940073310032
14,19;13,03984;142,97;84,2;1,0964091583945816
14,2;12,98284;141,812;84,2;1,0923033789217151
14,211;12,94798;141,064;84,9;1,0894672373605767
14,222;12,899099999999999;139,939;85,5;1,0848741385057874
14,233;12,839099999999998;138,975;85,5;1,0824356847442578
14,243;12,76024;138,975;86,2;1,0891252829100393
14,254;12,67336;138,066;86,8;1,0894190648730881
14,265;12,56736;137,848;86,8;1,0968731698622465
14,276;12,44854;136,501;87,7;1,0965221624383263
14,285;12,33264;135,431;88,2;1,0981509230789193
14,296;12,23578;133,781;88,9;1,0933589848787735
14,307;12,203899999999999;131,24;89,5;1,0753939314481438
14,318;12,199039999999998;128,294;90,2;1,0516729185247364
14,329;12,24418;126,37;90,9;1,0320821810852177
14,339;12,27118;125,692;90,9;1,024286172967881
14,35;12,27132;124,956;91,6;1,0182767624020888
14,361;12,28344;123,829;92,2;1,0080970802967246
14,371;12,31326;123,293;91,3;1,0013026607088618
14,38;12,359160000000001;122,44;85,8;0,990682214648892
14,391;12,382140000000001;121,241;75,7;0,9791603066998111
14,402;12,37258;119,235;67,9;0,9637036091098219
14,413;12,33026;117,895;66,3;0,9561436660703018
14,423;12,2965;117,604;67,5;0,9564022282763387
14,434;12,25878;118,789;68,9;0,9690115982177672
14,445;12,272039999999999;121,506;70,2;0,9901043347316338
14,456;12,26716;123,628;70,8;1,0077964255785365
14,466;12,2103;124,169;71,5;1,0169201411922721
14,477;12,11358;123,866;72,9;1,0225383412665785
14,488;11,9977;123,924;73,5;1,0328979721113214
14,499;11,8667;123,952;73,5;1,0445363917517085
14,508;11,73284;123,51;74,2;1,0526863061287803
14,519;11,6221;122,833;75,5;1,0568916116708684
14,53;11,535359999999999;121,715;76,8;1,0551469568353309
14,542;11,468679999999999;121,142;78,4;1,0562854661565237
14,551;11,424760000000001;121,496;78,8;1,0634446587937076
14,562;11,391919999999999;122,111;79,6;1,0719088617195347
14,573;11,32118;122,55;80,9;1,0824843346718274
14,584;11,239460000000001;122,413;82,3;1,089135954930219
14,594;11,133560000000001;121,982;82,8;1,0956244004613078
14,605;11,00972;121,129;83,6;1,100200550059402
14,615;10,89798;120,283;84,9;1,1037183037590452
14,626;10,794099999999998;119,257;85,5;1,1048350487766467
14,636;10,70324;118,162;86,2;1,1039834666885917
14,647;10,61436;117,132;86,8;1,1035239053508645
14,658;10,502519999999999;116,046;87,6;1,1049348156442456
14,669;10,3868;114,979;89,0;1,1069723110101282
14,679;10,274899999999999;114,393;89,5;1,1133247038900622
14,69;10,147039999999999;113,566;90,2;1,1192032356233939
14,701;10,006179999999999;112,26;90,9;1,1219066616830802
14,712;9,89734;111,051;91,7;1,1220287471179125
14,722;9,76358;109,947;92,9;1,1260930929023985
14,733;9,6227;108,899;93,5;1,1316886113045195
14,744;9,47386;107,981;94,3;1,1397782952249664
14,754;9,29614;107,428;95,7;1,1556194291394062
14,764;9,09824;106,932;96,2;1,175304234665166
14,774;8,902379999999999;106,116;96,9;1,191995848301241
14,785;8,736500000000001;104,44;97,5;1,1954443999313222
14,796;8,57366;101,486;98,3;1,1836951780219884
14,806;8,41778;98,331;98,9;1,168134591305546
14,817;8,268920000000001;94,149;99,6;1,1385888362688232
14,828;8,13118;89,231;100,9;1,0973929983102082
14,839;8,0173;85,557;101,5;1,0671547777930226
14,849;7,89846;82,954;102,3;1,0502553662359497
14,859;7,81958;80,577;102,9;1,0304517633939418
14,87;7,75258;77,698;102,9;1,0022211960405438
14,881;7,70694;75,388;99,7;0,9781832997272588
14,891;7,668480000000001;72,948;92,4;0,9512706559839759
14,902;7,59776;70,592;83,8;0,9291159499642
14,913;7,5293;68,077;76,5;0,9041610773909924
14,924;7,44222;66,676;71,1;0,8959154660840449
14,934;7,34158;65,879;67,9;0,8973408993704352
14,944;7,289219999999999;66,569;66,1;0,9132527211416311
14,956;7,262239999999999;68,421;66,2;0,9421473264447333
14,967;7,30272;69,765;68,6;0,9553289733140529
14,976;7,35004;70,76;70,2;0,9627158491654467
14,987;7,4663;72,376;71,5;0,9693690315149405
14,998;7,64272;74,768;73,6;0,9782904515669815
15,009;7,876119999999999;76,615;75,6;0,9727505421451171
15,019;8,13852;77,76;77,6;0,955456274605211
15,03;8,39876;78,777;78,8;0,9379598893169944
15,041;8,642059999999999;80,374;80,3;0,9300328856777204
15,052;8,860479999999999;82,612;82,4;0,9323648380223194
15,061;9,07072;84,431;83,6;0,9308081387144571
15,072;9,26398;87,365;84,9;0,943061189683052
15,083;9,400239999999998;90,346;86,2;0,9611031207713848
15,094;9,46552;92,586;87,6;0,9781396056423735
15,104;9,44778;94,938;88,9;1,0048709855648628
15,115;9,37406;96,791;90,3;1,0325408627638397
15,125;9,27332;97,565;91,6;1,0521043164691826
15,135;9,166599999999999;97,466;93,0;1,0632731874413632
15,145;9,083;96,303;95,0;1,060255422217329
15,156;9,03838;95,209;96,9;1,053385673096285
15,167;9,02666;93,68;98,3;1,03781465126636
15,178;9,03494;92,779;99,7;1,026891158103983
15,188;9,047179999999999;91,799;100,9;1,014669764501204
15,199;9,04946;91,087;102,3;1,0065462469583821
15,21;9,04758;90,482;102,9;1,000068526611536
15,221;9,06776;89,77;103,8;0,989990912860508
15,23;9,07784;89,449;104,2;0,9853555471345606
15,241;9,0997;89,201;103,5;0,9802630855962283
15,252;9,074;88,891;100,0;0,9796230989640732
15,263;9,041500000000001;88,46;97,5;0,978377481612564
15,273;8,98266;88,384;98,3;0,9839401691703794
15,284;8,92078;88,676;98,9;0,9940386378769569
15,295;8,865920000000001;89,799;99,6;1,0128559698260307
15,306;8,804200000000002;90,486;101,0;1,0277594784307489
15,316;8,77746;90,654;102,3;1,0328044787444206
15,327;8,772720000000001;90,494;103,6;1,0315386789957959
15,338;8,81298;91,117;104,9;1,0338954587438074
15,349;8,892280000000001;91,934;106,4;1,0338630812345089
15,358;9,013520000000002;93,3;107,6;1,0351116988701414
15,369;9,16778;94,646;108,9;1,0323764313716077
15,38;9,31606;96,204;110,3;1,0326683168635669
15,391;9,43834;97,667;111,7;1,0347900160409564
15,401;9,5126;98,689;113,0;1,0374555852238083
15,412;9,53772;100,173;113,6;1,0502824574426595
15,423;9,53786;101,21;114,3;1,0611395008943305
15,434;9,50814;101,91;115,7;1,0718184629170375
15,444;9,471400000000001;101,618;117,0;1,0728931308993388
15,455;9,444659999999999;100,763;118,3;1,0668780030196958
15,466;9,429780000000001;100,57;118,9;1,0665148073443917
15,477;9,40996;100,316;119,8;1,0660619173726564
15,486;9,3832;100,354;121,0;1,0695072043652485
15,497;9,36332;99,834;121,6;1,0662243734060142
15,508;9,336459999999999;100,013;122,3;1,0712090021271448
15,519;9,308580000000001;99,863;122,9;1,0728059489202433
15,528;9,26172;100,051;123,6;1,0802637091166651
15,539;9,198;100,091;125,0;1,0881822135246793
15,55;9,11412;100,318;125,6;1,1006877241028208
15,561;9,0153;100,202;126,5;1,111466063248034
15,57;8,90654;100,247;127,7;1,1255437015945586
15,581;8,80266;100,139;128,3;1,1375993165702185
15,592;8,7208;99,629;129,0;1,1424295936152646
15,603;8,68408;99,666;130,4;1,1476863409825795
15,613;8,652339999999999;99,058;131,7;1,1448694803948993
15,624;8,63746;98,697;132,3;1,1426623104477471
15,635;8,5976;97,362;133,0;1,132432306690239
15,646;8,533719999999999;96,279;133,6;1,128218408853349
15,656;8,444859999999998;94,812;134,3;1,122718434645453
15,667;8,34614;93,359;135,7;1,1185889524978014
15,678;8,2494;92,172;137,0;1,1173176230998618
15,689;8,15052;91,258;137,6;1,1196586230081025
15,699;8,069659999999999;90,563;138,3;1,1222653742536863
15,71;7,97994;89,957;139,7;1,1272891776128642
15,721;7,88906;89,626;140,3;1,1360795836259328
15,732;7,8002400000000005;88,966;141,2;1,140554649600525
15,741;7,68348;88,545;142,4;1,152407502850271
15,752;7,57274;87,679;143,7;1,157823984449486
15,763;7,48586;86,959;144,3;1,1616434183914741
15,774;7,43702;85,806;145,1;1,1537685793503312
15,784;7,40728;84,777;146,4;1,1445091855579916
15,795;7,40954;83,429;147,7;1,1259673340045402
15,806;7,4548;82,473;149,0;1,1063073456028332
15,817;7,5420799999999995;82,827;150,4;1,0981983749840893
15,827;7,69534;83,296;151,7;1,0824213095197872
15,838;7,9016;83,792;153,0;1,0604434544902297
15,849;8,15872;84,359;153,6;1,033973466426106
15,86;8,46356;85,668;152,8;1,012198176653796
15,869;8,7622;86,808;151,0;0,9907100956380817
15,881;9,0266;88,547;148,0;0,9809562847583808
15,891;9,2124;89,68;147,0;0,9734705397073509
15,902;9,31856;91,006;147,8;0,9766101200185437
15,911;9,36366;92,244;148,3;0,9851276103574884
15,922;9,412799999999999;93,826;149,0;0,9967916029236783
15,933;9,48008;95,802;150,4;1,0105610923114574
15,944;9,584200000000001;97,403;151,0;1,0162872227207278
15,954;9,73836;97,787;151,8;1,004142381263375
15,964;9,94646;98,676;152,3;0,9920715510845064
15,976;10,196620000000001;100,874;153,1;0,989288607401276
15,986;10,49056;102,976;152,8;0,9816063203489613
15,996;10,78318;105,545;150,9;0,9787928978279135
16,007;11,0545;108,191;147,5;0,9787055045456602
16,018;11,25868;110,69;143,4;0,9831525542958854
16,029;11,39;113,141;140,0;0,9933362598770852
16,039;11,42836;115,365;136,8;1,0094624250548636
16,05;11,3837;117,07;133,5;1,028400256507111
16,061;11,28946;118,863;132,3;1,0528670104681712
16,072;11,16764;120,172;133,2;1,0760733691272282
16,081;11,05886;121,524;134,3;1,0988836100646904
16,092;10,96314;123,166;135,7;1,1234555063604041
16,103;10,8644;124,756;137,0;1,1483008725746475
16,114;10,76552;125,827;137,6;1,1687963052411774
16,124;10,666659999999998;126,291;138,3;1,1839788649867908
16,135;10,5778;125,963;139,0;1,1908241789408005
16,146;10,49594;125,135;139,7;1,1922228976156495
16,157;10,45122;123,863;141,1;1,1851535036101049
16,167;10,441320000000001;122,607;141,6;1,1742480835756397
16,178;10,45948;121,7;142,4;1,1635377666958588
16,189;10,47474;120,902;143,7;1,1542243530627014
16,2;10,51386;120,369;144,3;1,1448602130901497
16,21;10,581;120,366;145,0;1,1375673376807485
16,221;10,66812;120,36;145,6;1,1282212798506202
16,232;10,769120000000001;120,108;145,6;1,1153000430861573
16,243;10,882959999999999;119,648;144,8;1,099406779038056
16,253;10,98954;118,736;142,7;1,0804455873494252
16,263;11,07792;117,174;139,6;1,057725638025911
16,275;11,1292;116,441;136,0;1,0462656794738168
16,285;11,182820000000001;116,234;134,1;1,0393979336160286
16,294;11,18572;117,075;133,6;1,0466469748929885
16,305;11,21472;118,335;133,6;1,0551756976545112
16,316;11,222859999999999;119,665;134,3;1,066261184760391
16,327;11,23316;120,177;135,8;1,069841433755061
16,336;11,247100000000001;120,581;135,5;1,0721074765939662
16,347;11,24498;120,421;134,9;1,070886742350809
16,358;11,28498;119,247;134,9;1,0566877389237732
16,369;11,3843;117,91;136,5;1,035724638317683
16,379;11,54266;117,226;138,3;1,0155891276360909
16,39;11,78294;117,354;139,7;0,9959653532989219
16,401;12,1082;119,637;141,0;0,9880659387852859
16,412;12,47948;122,508;142,4;0,9816755185312207
16,422;12,853439999999999;125,819;142,2;0,9788741379739588
16,433;13,24986;128,039;134,3;0,9663422858807563
16,444;13,68062;130,811;118,1;0,9561774247073598
16,455;14,1103;133,454;101,5;0,9457913722599803
16,465;14,554359999999999;136,348;91,8;0,9368189326085106
16,476;14,961780000000001;138,798;88,9;0,927683738164844
16,487;15,286200000000001;141,558;91,0;0,9260509479138045
16,498;15,5176;144,508;93,0;0,9312522555034284
16,508;15,671;147,518;95,0;0,941343883606662
