Depth_m;qt_MPa;fs_kPa;u2_kPa;FR_percent
2,176;0,2634;1,849;-8,0;0,701974183750949
2,187;0,23326;1,822;-8,7;0,781102632255852
2,198;0,23128;1,915;-8,6;0,8280006918021446
2,209;0,1714;1,902;-8,0;1,1096849474912485
2,221;0,16940000000000002;1,824;-8,0;1,0767414403778037
2,232;0,17454;1,722;-7,3;0,9865933310415951
2,243;0,16466;1,662;-6,7;1,0093526053686384
2,255;0,16666;1,545;-6,7;0,9270370814832594
2,266;0,1868;1,738;-6,0;0,930406852248394
2,278;0,18494;2,107;-5,3;1,1392884178652538
2,289;0,17694;2,252;-5,3;1,272747824121171
2,3;0,19206;2,354;-4,7;1,2256586483390608
2,312;0,2272;1,971;-4,0;0,8675176056338028
2,323;0,22920000000000001;1,749;-4,0;0,7630890052356021
2,334;0,2192;1,807;-4,0;0,8243613138686131
2,346;0,2192;1,854;-4,0;0,8458029197080292
2,357;0,2072;1,691;-4,0;0,8161196911196912
2,369;0,2042;1,564;-4,0;0,7659157688540646
2,38;0,19034;1,505;-3,3;0,7906903435956708
2,391;0,19746;1,374;-2,7;0,6958371315709511
2,403;0,19046;1,296;-2,7;0,680457838916308
2,414;0,17759999999999998;1,079;-2,0;0,6075450450450451
2,426;0,17074;0,819;-1,3;0,4796767014173597
2,437;0,17573999999999998;0,946;-1,3;0,5382952088312281
2,448;0,19274;1,724;-1,3;0,8944692331638477
2,46;0,17285999999999999;2,118;-0,7;1,2252690038181187
2,472;0,173;2,267;0,0;1,3104046242774565
2,483;0,173;2,277;0,0;1,316184971098266
2,495;0,181;2,271;0,0;1,254696132596685
2,506;0,19206;1,878;5,3;0,9778194314276787
2,527;0,27354;1,411;17,7;0,5158294947722454
2,535;0,28348;1,54;17,4;0,5432482009312827
2,544;0,28032;1,694;16,6;0,6043093607305936
2,554;0,2702;1,379;16,0;0,5103626943005182
2,564;0,26306;1,342;15,3;0,5101497757165666
2,575;0,2478;1,493;14,0;0,6025020177562551
2,586;0,22252;1,681;12,6;0,7554377134639584
2,597;0,21724;1,425;11,2;0,6559565457558462
2,607;0,247;1,21;10,0;0,4898785425101215
2,618;0,24001999999999998;1,391;10,1;0,5795350387467711
2,629;0,25214;1,607;10,7;0,6373443325136829
2,64;0,27214;1,774;10,7;0,6518703608436834
2,651;0,26414;1,847;10,7;0,6992503975164686
2,662;0,25014;1,97;10,7;0,787558966978492
2,673;0,24014;2,049;10,7;0,8532522695094528
2,684;0,23214;1,939;10,7;0,8352718187300767
2,695;0,22714;1,835;10,7;0,8078717971295236
2,706;0,23028;1,907;11,4;0,8281222859128018
2,717;0,2524;2,298;12,0;0,910459587955626
2,728;0,3044;2,411;12,0;0,7920499342969777
2,739;0,34140000000000004;2,547;12,0;0,7460456942003515
2,751;0,34156000000000003;2,791;12,8;0,8171331537650779
2,762;0,32152000000000003;3,089;12,6;0,9607489425230156
2,773;0,30426;3,454;11,3;1,1352133044107016
2,784;0,294;3,836;10,0;1,3047619047619048
2,796;0,32102;4,121;10,1;1,2837206404585384
2,807;0,37614;3,763;10,7;1,000425373531132
2,818;0,41113999999999995;3,532;10,7;0,8590747677190252
2,828;0,42813999999999997;2,969;10,7;0,6934647545195497
2,839;0,44284;2,702;9,2;0,610152651070364
2,85;0,48932;2,428;6,6;0,4961988065069893
2,861;0,5359200000000001;2,483;4,6;0,4633154202119719
2,872;0,55752;2,656;2,6;0,47639546563351987
2,883;0,5571200000000001;2,768;0,6;0,49684089603676046
2,894;0,52686;2,642;-0,7;0,5014614888205595
2,905;0,47274;2,271;-1,3;0,48039091255235433
2,916;0,3859;2,015;-0,5;0,5221559989634621
2,926;0,319;1,996;0,0;0,625705329153605
2,934;0,27518000000000004;1,99;0,9;0,7231630205683551
2,943;0,26526;1,538;1,3;0,5798084897836087
2,953;0,27542;1,534;2,1;0,556967540483625
2,964;0,28753999999999996;1,692;2,7;0,5884398692355847
2,975;0,30568;1,869;3,4;0,6114237110704004
2,986;0,32980000000000004;1,901;4,0;0,5764099454214675
2,997;0,33280000000000004;2,024;4,0;0,6081730769230768
3,008;0,32994;2,335;4,7;0,7077044311086864
3,019;0,34306000000000003;2,298;5,3;0,6698536699119686
3,03;0,38722;2,119;6,1;0,5472341304684676
3,041;0,40234000000000003;2,187;6,7;0,5435701148282546
3,052;0,42747999999999997;2,106;7,4;0,4926546271170581
3,063;0,47159999999999996;2,034;8,0;0,4312977099236641
3,074;0,5186000000000001;1,969;8,0;0,37967605090628614
3,084;0,5486000000000001;2,064;8,0;0,37623040466642355
3,096;0,56374;2,692;8,7;0,47752510022350736
3,107;0,57588;3,375;9,4;0,5860595957491144
3,118;0,58088;3,901;9,4;0,6715672772345407
3,128;0,586;4,175;10,0;0,712457337883959
3,14;0,59114;4,548;10,7;0,7693608958960653
3,15;0,64614;5,108;10,7;0,7905407496827311
3,162;0,6012799999999999;5,757;11,4;0,9574574241617883
3,173;0,67356;6,928;12,8;1,0285646416057959
3,184;0,8078200000000001;8,724;14,1;1,0799435517813374
3,195;1,12194;11,568;14,7;1,0310711802770203
3,206;1,69208;15,13;15,4;0,8941657604841379
3,217;2,5212;18,977;16,0;0,7526971283515786
3,228;3,63536;22,459;16,8;0,6177930108710004
3,239;4,88832;26,452;16,6;0,5411266038229903
3,25;6,12256;30,463;12,8;0,49755331103329326
3,26;7,258699999999999;34,446;8,5;0,47454778403846426
3,271;8,246039999999999;39,063;5,2;0,4737182938719677
3,282;9,15866;43,459;3,3;0,4745126470466204
3,293;10,01738;47,994;1,9;0,47910731149262586
3,304;10,772260000000001;52,513;1,3;0,4874835921153035
3,315;11,441120000000002;56,614;0,6;0,49482917756303574
3,326;12,077;61,015;0,0;0,5052165272832657
3,337;12,637;65,138;0,0;0,5154546173933687
3,348;13,13386;69,164;-0,7;0,5266083238286383
3,359;13,61674;73,384;-1,3;0,5389248821670972
3,37;14,151739999999998;77,532;-1,3;0,54786195902412
3,381;14,718739999999999;82,391;-1,3;0,5597693824335508
3,392;15,31074;86,978;-1,3;0,5680848868180114
3,403;15,92188;91,884;-0,6;0,5770926548874882
3,414;16,51086;96,908;-0,7;0,5869349022401014
3,425;17,04374;101,829;-1,3;0,5974568961976656
3,435;17,501739999999998;105,616;-1,3;0,6034599988344017
3,446;17,934739999999998;108,938;-1,3;0,6074133218546799
3,457;18,315739999999998;111,506;-1,3;0,6087987708932318
3,468;18,60788;114,149;-0,6;0,6134444117223457
3,479;18,839;116,91;0,0;0,6205743404639312
3,49;19,054;120,005;0,0;0,6298152618872678
3,501;19,316;123,782;0,0;0,6408262580244356
3,512;19,586;127,191;0,0;0,6493975288471356
3,523;19,844160000000002;130,324;0,8;0,656737297018367
3,533;20,14126;133,266;1,3;0,6616567185965525
3,544;20,470119999999998;136,082;0,6;0,664783596774225
3,555;20,812;138,514;0,0;0,6655487218912167
3,566;21,099;140,311;0,0;0,6650125598369592
3,577;21,223;141,679;0,0;0,6675729161758469
3,588;21,21314;143,396;0,7;0,6759772480641715
3,599;21,14626;145,049;1,3;0,685932169565682
3,61;21,05226;146,257;1,3;0,6947330120376625
3,62;21,01242;146,883;2,1;0,6990294311649968
3,631;21,05754;146,492;2,7;0,6956748034195827
3,642;21,181540000000002;145,479;2,7;0,6868197496499311
3,653;21,30054;144,655;2,7;0,6791142384183687
3,664;21,36954;144,477;2,7;0,6760884885683079
3,675;21,38654;144,46;2,7;0,6754715816583702
3,686;21,38454;144,611;2,7;0,6762408730793367
3,697;21,42168;144,531;3,4;0,674694981906181
3,708;21,515800000000002;144,563;4,0;0,6718922838100372
3,718;21,69866;145,173;3,3;0,6690413140719289
3,729;21,89154;146,156;2,7;0,6676369044845635
3,74;22,06754;147,814;2,7;0,6698254540379217
3,752;22,24354;149,7;2,7;0,6730043868916548
3,762;22,39654;150,809;2,7;0,6733584741214491
3,773;22,47154;151,61;2,7;0,6746756119073282
3,784;22,49154;151,114;2,7;0,6718704010485721
3,795;22,47654;149,952;2,7;0,6671489473023873
3,806;22,41654;148,3;2,7;0,6615650765015475
3,817;22,27554;146,064;2,7;0,655714743615643
3,828;22,092679999999998;143,664;3,4;0,6502787348569753
3,839;21,881800000000002;141,945;4,0;0,6486897787202148
3,85;21,7588;140,391;4,0;0,6452148096402375
3,861;21,763800000000003;139,09;4,0;0,6390887620727997
3,873;21,94396;138,233;4,8;0,6299364380904815
3,883;22,256059999999998;138,486;5,3;0,6222395158891556
3,894;22,65506;139,294;5,3;0,6148471908703841
3,906;23,09806;140,745;5,3;0,609336888033021
3,917;23,53406;143,214;5,3;0,6085392830646306
3,927;23,86806;145,708;5,3;0,6104727405578836
3,938;24,163059999999998;148,958;5,3;0,6164699338577151
3,949;24,42292;151,615;4,6;0,6207898154684206
3,96;24,6428;155,03;4,0;0,6291087051796062
3,971;24,7618;158,749;4,0;0,6411044431341825
3,982;24,914800000000003;161,775;4,0;0,6493128582208165
3,992;25,018800000000002;164,628;4,0;0,6580171710873421
4,003;25,103800000000003;167,821;4,0;0,6685083533170276
4,014;25,1798;170,731;4,0;0,6780474825058181
4,024;25,2418;172,551;4,0;0,683592295319668
4,035;25,283800000000003;173,732;4,0;0,6871277260538368
4,046;25,3018;174,006;4,0;0,6877218221628502
4,057;25,323800000000002;173,122;4,0;0,6836335778990514
4,068;25,2988;171,549;4,0;0,6780914509779121
4,079;25,2098;169,084;4,0;0,6707074233036358
4,091;25,100800000000003;165,728;4,0;0,6602498725140235
4,102;24,99666;162,478;3,3;0,6499988398450033
4,113;24,90768;159,671;3,4;0,6410512741451632
4,124;24,8658;157,428;4,0;0,6331105373645731
4,135;24,9398;155,134;4,0;0,6220338575289295
4,145;25,120800000000003;152,572;4,0;0,6073532690041717
4,156;25,4278;150,895;4,0;0,5934253061609734
4,168;25,8978;149,823;4,0;0,5785163218497325
4,179;26,417800000000003;150,296;4,0;0,5689194406801473
4,189;26,838800000000003;151,179;4,0;0,5632852437515835
4,2;27,16794;152,779;4,7;0,5623503291011389
4,211;27,41292;155,48;4,6;0,5671778125059279
4,222;27,59166;157,545;3,3;0,5709877549955312
4,233;27,76454;159,168;2,7;0,5732780013643302
4,244;27,97454;160,791;2,7;0,5747762072227104
4,254;28,16054;162,267;2,7;0,5762211946219781
4,265;28,257540000000002;163,915;2,7;0,5800752648673593
4,275;28,39554;165,568;2,7;0,5830774832949118
4,286;28,48254;167,757;2,7;0,5889818815316331
4,296;28,53454;169,939;2,7;0,595555421604834
4,307;28,61854;171,975;2,7;0,6009216403072973
4,317;28,73268;173,571;3,4;0,604089141702062
4,328;28,943800000000003;175,166;4,0;0,6051935129457776
4,371;29,480800000000002;179,736;4,0;0,6096713793384168
4,376;29,512800000000002;181,165;4,0;0,6138522945975982
4,382;29,5148;182,756;4,0;0,6192012143060431
4,388;29,5348;184,026;4,0;0,6230819236967916
4,394;29,5548;185,049;4,0;0,6261216452149905
4,4;29,594800000000003;185,945;4,0;0,628302945111979
4,406;29,626800000000003;186,59;4,0;0,6298013960333211
4,413;29,60154;187,008;2,7;0,6317509156618204
4,419;29,606540000000003;187,71;2,7;0,6340153222902777
4,426;29,59954;188,527;2,7;0,6369254387061419
4,432;29,562540000000002;189,2;2,7;0,6399991340392266
4,438;29,510540000000002;189,92;2,7;0,6435666714333251
4,445;29,48254;190,799;2,7;0,6471593017426586
4,478;29,96376;197,535;3,8;0,6592463696144942
4,485;30,2158;197,952;4,0;0,6551274498772165
4,492;30,431800000000003;198,849;4,0;0,653425035653494
4,501;30,65662;199,589;3,1;0,6510469843055106
4,51;30,9087;200,714;3,5;0,6493770362389877
4,52;31,161800000000003;202,773;4,0;0,650710164367912
4,53;31,332800000000002;204,931;4,0;0,6540462390849205
4,539;31,5088;206,694;4,0;0,6559881683847052
4,549;31,66362;209,059;3,1;0,660249838773962
4,558;31,827540000000003;211,156;2,7;0,6634380162588752
4,567;31,9683;213,102;1,5;0,6666041046912098
4,574;32,00526;214,757;1,3;0,671005328499128
4,582;32,089259999999996;216,428;1,3;0,6744561887684541
4,591;32,25326;217,779;1,3;0,6752154665915941
4,599;32,39926;219,162;1,3;0,6764413755128975
4,609;32,602259999999994;221,015;1,3;0,6779131262679337
4,619;32,879259999999995;223,095;1,3;0,6785280447309339
4,629;33,10426;225,332;1,3;0,6806737259796777
4,639;33,26826;227,385;1,3;0,6834893078267394
4,65;33,483259999999994;230,027;1,3;0,6869910516478982
4,66;33,59742;232,129;2,1;0,6909131713089874
4,67;33,66454;233,422;2,7;0,6933764726920373
4,68;33,66954;234,472;2,7;0,6963920505002444
4,69;33,56754;235,556;2,7;0,7017374523125615
4,701;33,44454;236,468;2,7;0,7070451559507172
4,711;33,26354;236,649;2,7;0,7114366059655707
4,721;33,11454;236,17;2,7;0,7131912446919086
4,731;33,03054;236,112;2,7;0,7148293670039908
4,742;33,05054;235,909;2,7;0,7137825887262356
4,752;33,19654;235,357;2,7;0,7089805142343147
4,761;33,38454;234,568;2,7;0,7026246280463951
4,772;33,50154;233,066;2,7;0,6956874221304453
4,782;33,48354;231,985;2,7;0,6928329561330732
4,793;33,47654;230,797;2,7;0,6894290748088063
4,803;33,47354;229,716;2,7;0,686261447101203
4,814;33,40954;228,528;2,7;0,6840201930346841
4,824;33,32754;227,447;2,7;0,6824596114804753
4,834;33,218540000000004;226,893;2,7;0,6830312229255109
4,844;33,1297;226,78;3,5;0,684521743330003
4,854;33,0208;226,474;4,0;0,6858525535420098
4,865;32,919799999999995;226,643;4,0;0,688470160815072
4,876;32,82086;227,105;4,3;0,6919532273072674
4,936;31,54834;228,778;6,7;0,7251665222322315
4,945;31,50434;229,979;6,7;0,7299914868872035
4,954;31,52134;231,193;6,7;0,7334491490526736
4,963;31,424339999999997;231,925;6,7;0,7380425491832129
4,972;31,30134;232,151;6,7;0,7416647338420655
4,982;31,16434;231,993;6,7;0,7444181394504104
4,991;30,971339999999998;231,42;6,7;0,7472069338943682
5,001;30,76134;230,754;6,7;0,7501428741400732
5,01;30,56534;229,413;6,7;0,7505658369905259
5,02;30,33234;228,282;6,7;0,7526026676477978
5,028;30,14748;227,481;7,4;0,7545605801877967
5,039;29,9396;225,225;8,0;0,7522645593127496
5,048;29,7266;223,754;8,0;0,7527063303573229
5,057;29,4986;222,216;8,0;0,7533103265917706
5,067;29,3156;220,163;8,0;0,7510097013194341
5,076;29,1196;218,184;8,0;0,7492685339084328
5,086;28,9816;216,157;8,0;0,7458421895271483
5,095;28,9166;213,981;8,0;0,7399936368729381
5,105;28,81278;212,018;8,9;0,7358470789698183
5,114;28,75388;209,91;9,4;0,7300232177361804
5,124;28,64188;207,532;9,4;0,7245753421213971
